prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
38.50.22.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) and AS328073 (Ion‑Telecom‑AS) have a clear provider‑customer relationship, with AS174 acting as the upstream provider that announces the prefix on behalf of its customer. RIPEstat data shows AS174's maintenance entity managing AS328073's route objects, and the prefix is registered to the Cogent customer Ion Telecom, confirming a strong operational link. The prefix is also geolocated to the same country (Libya), further supporting the legitimacy of the delegation.",ROA misconfiguration due to delegated upstream announcement by provider AS174 for customer AS328073.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.23.0/24,N/A,AS174,['AS328073'],High,"The origin AS174 (Cogent Communications) and the authorized AS328073 (Ion‑Telecom‑AS) have a clear provider‑customer relationship; AS174 is the provider and AS328073 the customer, with RIPEstat indicating that AS328073’s routes are maintained by MAINT‑AS174 and the prefix being registered for a Cogent customer in the same country (Libya), supporting a delegated upstream‑downstream announcement.",Provider‑customer delegated announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.3.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion‑Telecom‑AS); the provider announces the customer's prefix on its behalf, a common delegated upstream‑downstream practice supported by IRR/RIPEstat data and the shared Libyan region of the prefix.",Provider‑customer delegated announcement,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.4.0/22,N/A,AS174,['AS328073'],High,"The origin AS (AS174, Cogent Communications) and the authorized AS (AS328073, Ion Telecom) have a clear provider‑customer relationship; AS174 is the upstream provider for AS328073, and the prefix is delegated to the customer. IRR records and RIPEstat data show the route is maintained by MAINT‑AS174, confirming an administrative link. The RPKI mismatch likely results from a misconfiguration or incomplete ROA, making the conflict highly likely to be benign.",Customer‑provider delegated announcement with possible ROA misconfiguration,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.4.0/23,N/A,AS174,['AS328073'],High,"The origin AS174 (Cogent Communications) is the provider for the authorized AS328073 (Ion‑Telecom‑AS). The prefix is registered to the customer AS328073 but is announced via the provider’s infrastructure, a common delegated upstream‑downstream arrangement. RIPEstat data shows AS174’s maintenance entity responsible for AS328073’s route objects, and the prefix resides in the same country (Libya), indicating a legitimate administrative relationship rather than a hijack.",Provider‑customer relationship leading to a delegated announcement.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.5.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the upstream provider for AS328073 (Ion‑Telecom‑AS). The ROA authorizes only AS328073, yet AS174 announces the prefix on behalf of its customer, a common delegated/upstream‑downstream practice. RIPEstat data and maintenance records show a close administrative link, and the prefix resides in the same country (Libya), indicating the mismatch is likely due to a benign configuration issue rather than a malicious hijack.",Provider‑customer relationship causing delegated upstream announcement that conflicts with the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.6.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion Telecom), and the prefix 38.50.6.0/23 is registered to the customer. The ROA lists only the customer as the authorized origin, so the provider's announcement results in an RPKI‑invalid route, which is most likely a benign misconfiguration rather than a malicious hijack.",Misconfiguration due to provider (AS174) announcing a customer’s (AS328073) prefix without an updated ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.7.0/24,N/A,AS174,['AS328073'],High,"The origin AS (AS174, Cogent Communications) and the authorized AS (AS328073, Ion‑Telecom‑AS) have a clear provider‑customer relationship; AS174 is the provider and AS328073 its customer, with administrative ties evident from RIPEstat maintenance data and shared prefix registrations, indicating the invalid announcement likely stems from delegated upstream‑downstream usage rather than a malicious hijack.",Provider‑customer delegated announcement.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.8.0/22,N/A,AS174,['AS328073'],High,"The origin AS (AS174, Cogent Communications) and the authorized AS (AS328073, Ion Telecom) have a clear provider‑customer relationship; AS328073’s routes are maintained under MAINT‑AS174 and IRR records describe Ion Telecom as a Cogent customer. This suggests the RPKI‑invalid announcement results from a delegated upstream‑downstream configuration rather than a malicious hijack.","The prefix is announced by the provider (AS174) while the ROA authorizes only the customer (AS328073), likely due to a delegated upstream‑downstream configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.8.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion‑Telecom‑AS); the prefix is registered to the customer and routes are maintained by MAINT‑AS174, indicating a delegated upstream announcement. This business and administrative relationship explains the RPKI invalid status as a benign misconfiguration rather than a hijack.",Delegated upstream announcement within a provider‑customer relationship.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.9.0/24,N/A,AS174,['AS328073'],High,"The origin AS AS174 (Cogent Communications) is the upstream provider for the authorized AS AS328073 (Ion Telecom). The ROA is registered by the customer, but the provider announces the prefix on its behalf, a common operational practice. RIPEstat and IRR records show that AS328073's routes are maintained by MAINT‑AS174 and are registered for a Cogent customer, confirming a strong provider‑customer relationship and indicating a high likelihood of a benign conflict.",The provider (AS174) announces the customer's (AS328073) prefix due to their provider‑customer relationship.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
4.240.0.0/12,N/A,AS14593,['AS8075'],Low,"AS14593 (SpaceX-Starlink) and the authorized AS8075 (Microsoft) are unrelated organizations; no direct provider‑customer, sibling, or same‑company relationship is evident, and there is no concrete transfer or delegation evidence linking them. While both are large global networks, the only plausible links are indirect, such as shared upstreams or generic third‑party services, which are insufficient to justify a benign classification.",Likely hijack due to misconfigured origin without legitimate delegation.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change', 'Hijacks']",no relationship
4.244.164.0/23,N/A,AS14593,['AS8075'],Medium,"The origin AS (AS14593, SpaceX) announces a more-specific prefix that is covered by a ROA for AS8075 (Microsoft). No direct provider‑customer, sibling, or organizational relationship is evident between the two ASes. The conflict could stem from a delegated or upstream‑downstream arrangement, or a third‑party CDN/cloud edge deployment, but the available data does not confirm such ties, leading to a medium benign likelihood.",Possible delegated or third‑party CDN announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential regional operational arrangements not explicitly documented)', 'Prefix Transfer / Ownership Change', 'Hijacks']",weak relationship
