prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
85.208.44.0/23,N/A,AS834,['AS5065'],Medium,"The origin AS834 and the authorized AS5065 are different entities (IPXO LLC vs. Bunny Communications), but historical records show both have announced the prefix and there is evidence of a recent or past transfer/ownership change. An IRR record with mnt‑by set to AS834 suggests some administrative overlap, indicating the invalid route is likely due to a misconfiguration after a prefix transfer rather than a malicious hijack.","The conflict likely results from a recent prefix transfer or ownership change that was not reflected in the ROA, causing a misconfiguration.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Overlapping Administrative Control)']",,
85.208.46.0/24,N/A,AS834,"['AS54339', 'AS209697', 'AS401838']",High,"The origin AS834 is not covered by the ROAs, but RIPEstat data shows its maintainer is associated with route objects for authorized AS54339, indicating a close administrative or operational relationship (likely provider‑customer or sibling). Combined with a history of prefix transfers, multi‑origin announcements, and delegated/upstream‑downstream usage, this suggests the invalid announcement is a benign conflict rather than a malicious hijack.","Delegated/upstream-downstream announcement due to an administrative relationship between AS834 and authorized AS54339, with outdated ROAs.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
87.107.135.0/24,N/A,AS16322,"['AS62367', 'AS21341']",Medium,"Both the origin AS (AS16322) and the authorized ASes (AS62367, AS21341) are registered in Iran, suggesting a possible operational link such as a delegated or upstream/downstream arrangement, but there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship; the presence of multi‑origin announcements and partial ROA coverage further points to a configuration issue rather than a clear hijack.",Delegated/upstream‑downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
87.120.5.0/24,N/A,AS200385,['AS211437'],Low,"The origin AS (AS200385) and the authorized AS (AS211437) show no evident provider‑customer, sibling, or organizational relationship. Although there are hints of a recent prefix transfer, no concrete evidence confirms such a handover, and the prefix is primarily announced by the authorized AS, making the lack of linkage the dominant factor.",Potential hijack due to lack of relationship between the origin and authorized AS.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Delay in ROA Updates)', 'Hijacks']",,
88.151.57.0/24,N/A,AS7029,"['AS5065', 'AS834']",Medium,"AS7029, a large ISP, is announcing the prefix that is officially authorized to AS5065 and AS834. This could be a delegated or upstream‑downstream announcement where the provider announces on behalf of its customers, but the ROA has not been updated to include AS7029. While there is no direct evidence of a same‑organization or sibling relationship, all parties operate primarily in the US, suggesting possible cooperation or shared infrastructure; however, the possibility of a misconfiguration cannot be ruled out.",Delegated/upstream‑downstream announcement with an outdated ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Cooperative Infrastructure Sharing)', 'Hijacks', 'Misconfiguration']",,
88.209.201.0/24,N/A,AS209260,['AS834'],Medium,"The origin AS209260 and the authorized AS834 appear to have a potential delegated or upstream‑downstream relationship, but there is no concrete evidence of common ownership or a confirmed customer‑provider tie. The prefix is geolocated in Hungary, and while AS209260’s affiliation is not clearly Hungarian, no signs of malicious behavior such as sudden announcement changes are observed. This suggests the invalidity may stem from a misconfiguration or an undocumented business arrangement, leading to a medium likelihood of being a benign conflict.",Delegated/upstream‑downstream announcement or misconfiguration in ROA origin validation.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration in ROA/Route Origination)']",,
88.216.240.0/21,N/A,AS834,['AS5065'],Medium,"Both AS834 and AS5065 are active and operate in overlapping geographic regions, and a maintainer object links AS834 to the prefix originally announced by AS5065, suggesting an administrative or operational connection. However, there is no direct evidence of a provider‑customer, sibling, or same‑organization relationship, so the conflict is assessed as likely benign but only at a medium confidence level.","An administrative or operational relationship (e.g., prefix transfer or delegated upstream/downstream announcements) causing a misaligned ROA.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative or Operational Linkage via Maintainer Object)']",,
89.116.132.0/24,N/A,AS834,['AS396356'],Low,"There is no evidence of a direct or indirect relationship between the origin AS834 and the authorized AS396356; they belong to different organizations (IPXO LLC vs LATITUDE‑SH) and no provider‑customer or sibling ties are known. The prefix is primarily announced by AS396356, and the announcement by AS834 is RPKI‑invalid, suggesting a configuration error rather than an intentional hijack, though the lack of additional context prevents a higher benign rating.",The invalid announcement likely results from a misconfiguration causing AS834 to announce a prefix it is not authorized to announce.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
89.116.166.0/24,N/A,AS46844,['AS396356'],Low,"The origin AS AS46844 (Sharktech) and the authorized AS AS396356 (Latitude.sh) have no direct business or organizational relationship; they belong to different companies, lack provider‑customer or sibling ties, and there is no evidence of a recent prefix transfer or delegation, indicating the invalid announcement is not a benign configuration.",Hijack or misconfiguration.,['Hijacks'],,
89.117.118.0/24,N/A,AS834,['AS396356'],Low,"Both analyses note that AS834 and the authorized AS396356 have no evident organizational or provider‑customer relationship. The prefix was transferred to a different entity in 2021, and AS834 began announcing it in 2023, suggesting a possible misconfiguration rather than a coordinated multi‑origin setup. No evidence of shared infrastructure, close geographic proximity, or strong business ties is found, making a benign conflict unlikely.",Likely a misconfiguration or unauthorized announcement rather than a coordinated benign conflict.,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",,
89.213.40.0/24,N/A,AS61112,['AS834'],Medium,"There is no direct evidence of a provider‑customer, sibling, or organizational link between AS61112 and AS834; however, both ASes are located in the United Kingdom and the prefix has a history of transfers, suggesting a possible delegated or upstream‑downstream arrangement that could stem from a recent ownership change or misconfiguration.",Potential prefix transfer or delegated upstream/downstream announcement due to misconfiguration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
91.245.184.0/22,N/A,AS22773,['AS5650'],Medium,"The origin AS (AS22773, Cox Communications) and the authorized AS in the ROA (AS5650, Frontier Communications) are both large U.S. ISPs. There is no evidence of a same‑organization or direct customer‑provider relationship, but the prefix has been announced by both ASes at different times, suggesting a possible recent transfer, operational change, or misconfiguration. Their geographic proximity within the United States and the nature of upstream/downstream or delegated announcements point toward a likely benign conflict rather than a malicious hijack.",Delegated or upstream/downstream announcement resulting from a recent prefix transfer or operational change between the two ISPs.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Operational/Administrative Changes without ROA Updates)', 'Traffic Engineering / Deaggregate Mismatches']",,
92.53.184.0/22,N/A,AS400536,['AS834'],Medium,"AS400536's announcement for 92.53.184.0/22 is not covered by the ROA, which authorizes AS834. No direct business or organizational relationship between the two ASes is evident, and there is no documented provider‑customer or sibling link. However, both ASes operate in the same European region (the prefix is geolocated to Slovenia) and the prefix has historically been announced by AS834, indicating a possible recent ownership or management change that could have led to a misconfiguration or outdated ROA. The lack of concrete relationship evidence keeps the conflict from being clearly benign, but the regional and historical context suggests a medium likelihood of a benign conflict.",Possible misconfiguration related to a recent prefix transfer or outdated ROA information.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
